Keyword Name,Mechanic Tag,EN Output,EN Reminder Text,Comments,FR Output,FR Reminder Text,,DE Output,DE Reminder Text,,ES Output,ES Reminder Text,,IT Output,IT Reminder Text
"This doesn't apepar on the card, and therefore doesn't require localization. This name is only for internal use.","This is the english [ ] tag that our database uses to recognize a keyword within card text. When localizing a card text, DO NOT translate or modify the content of the tags.","This is the text that our database will use to replace the [ ] tags in the previous Column. These terms aren't directly present in the card file, but nonetheless need to be localized to be added to our database as they will appear on the final cards. ","This is the generic reminder text of the keyword. In card abilities, any [ ] tag with a # in front will automatically have the corresponding reminder text added. These texts aren't directly present in the card file, but nonetheless need to be localized to be added to our database as they will appear on the final cards.  Not all keywords have reminder texts.
Note that for some cards, instead of using a #[ ] tag, we've used a [ ] tag and added a reminder text manually at the end using ( ) brackets. This is usually because there is a slight modification (""I"" being replace by ""it"", for example). Please ensure that you keep consistency with the terms that aren't modified between the two reminder texts  :)",,,,,,,,,,,,
After You,[AFTER_YOU],After You,End your turn as if you had played a card. You may still play cards later this Day.,,Après vous,Terminez votre tour comme si vous aviez joué une carte. Vous pouvez encore jouer des cartes plus tard ce Jour.,,Nach dir,"Beende deine Runde, als ob du eine Karte gespielt hättest. Du darfst auch später an diesem Tag noch eine Karte spielen.",,Después de ti,"Termina tu turno como si hubieras jugado una carta. A lo largo del día actual, puedes jugar más cartas.",,Dopo di te,Termina il tuo turno come se avessi giocato una carta. Puoi comunque giocare carte più avanti in questa giornata.
Anchored,[ANCHORED],Anchored,"During Rest, I don't go to Reserve and I lose Anchored.",,Ancré,"Au Repos, je ne vais pas en Réserve et je perds Ancré.",,Verankert,Während der Ruhepause gehe ich nicht in die Reserve und verliere Verankert.,,Anclaje,"Durante el descanso, no voy a la reserva y pierdo anclaje.",,Ancorato,"Durante il riposo, non vado nella Riserva e perdo Ancorato."
Asleep,[ASLEEP],Asleep,"During Dusk, ignore my statistics. During Rest, I don't go to Reserve and I lose Asleep.",,Endormi,"Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.",,Schlafend,Am Abend ignoriere meine Statistiken. Während der Ruhepause gehe ich nicht in die Reserve und verliere Schlafend.,,Sueño,"Durante el anochecer, ignora mis estadísticas. Durante el descanso, no voy a la reserva y pierdo sueño.",,Dormiente,"Durante il crepuscolo, ignora le mie statistiche. Durante il riposo, non vado nella Riserva e perdo Dormiente."
boost,[B],,A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.,Please note that the output is purposefully blank and therefore doesn't need localizing. The keyword isn't yet implemented in the card file.,,Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.,,,"Eine Verstärkung ist ein +1/+1/+1-Zähler. Entferne sie, wenn sie die Expeditionszone verlässt.",,,Un potenciador es un contador +1/+1/+1. Retíralo cuando abandone la zona de expedición.,,,Un rinforzo è un segnalino +1/+1/+1. Rimuovilo quando lascia l'area delle spedizioni.
Booda token,[BOODA],Booda 2/2/2,,,2/2/2 Booda,,,Booda 2/2/2,,,Booda 2/2/2,,,Booda 2/2/2,
boosted,[BOOSTED],Boosted,,,Boosté,,,Verstärkt,,,Potenciado,,,Rinforzato,
boosted characters - plural,[BOOSTED_CHA_P],Boosted,,,Boostés,,,Verstärkt,,,Potenciados,,,Rinforzato,
boosted tokens - plural,[BOOSTED_TKN_P],Boosted,,,Boostés,,,Verstärkt,,,Potenciadas,,,Rinforzato,
Brassbug token,[BRASSBUG],Brassbug 2/2/2,,,2/2/2 Scarabot,,,Blechkäfer 2/2/2,,,Bicholata 2/2/2,,,Ottonblatta 2/2/2,
Defender,[DEFENDER],Defender,My Expedition can't advance during Dusk.,,Défenseur,Mon Expédition ne peut pas avancer au Crépuscule.,,Verteidiger,Am Abend kann meine Expedition nicht vorrücken.,,Defensor,Mi expedición no puede avanzar durante el anochecer.,,Difensore,La mia spedizione non può avanzare durante il crepuscolo.
Eternal,[ETERNAL],Eternal,"During Rest, I don't go to Reserve.",,Éternel,"Au Repos, je ne vais pas en Réserve.",,Ewig,Während der Ruhepause gehe ich nicht in die Reserve.,,Eterno,"Durante el descanso, no voy a la reserva.",,Eterno,"Durante il riposo, non vado nella Riserva."
