trk_id,str_to_translate,ES_es,LOCK,,,,
317777,"""Restart turn"" and ""Undo last step"" buttons","Botones ""Reiniciar turno"" y ""Deshacer último paso""",0,,,0,0
327547,#{D} : The next Character you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect),#{D} : El siguiente Personaje que juegues este turno cuesta {1} menos.# (Descártame de tu Reserva para activar este efecto),0,,,0,0
327599,#{D} : The next Permanent you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect),#{D} : El siguiente Permanente que juegues este turno cuesta {1} menos.# (Descártame de tu Reserva para activar este efecto),0,,,0,0
317543,${actplayer} can't take the mandatory action and must restart his turn or exchange/cook,${actplayer} no puede realizar la acción obligatoria y debe reiniciar su turno o intercambiar/cocinar,0,,,0,0
323673,${actplayer} may discard ${n} card(s) from ${source} to ${destination},${actplayer} puede descartar ${n} carta(s) de ${source} a ${destination},0,,,0,0
317533,${actplayer} may invoke ${tokenType},${actplayer} puede invocar ${tokenType},0,,,0,0
331149,${actplayer} may play ${card_name},${actplayer} puede jugar ${card_name},0,,,0,0
331151,${actplayer} may play ${card_name} for free,${actplayer} puede jugar ${card_name} gratis,0,,,0,0
317527,${actplayer} must choose an action or pass,${actplayer} debe elegir una acción o pasar,0,,,0,0
317541,${actplayer} must choose exactly one effect,${actplayer} debe elegir una acción o pasar,0,,,0,0
317539,${actplayer} must choose which effect to resolve,${actplayer} debe elegir exactamente un efecto,0,,,0,0
317535,${actplayer} must confirm or restart their turn,${actplayer} debe confirmar o reiniciar su turno,0,,,0,0
317537,${actplayer} must confirm the switch of player,${actplayer} debe confirmar el cambio de jugador,0,,,0,0
317529,${actplayer} must discard ${n} card(s) from ${source} to ${destination},${actplayer} debe descartar ${n} carta(s) de ${source} a ${destination},0,,,0,0
327509,${actplayer} must discard ${n} reserve card(s) and ${nLandmarks} landmark card(s),${actplayer} debe descartar ${n} carta(s) de reserva y ${nLandmarks} carta(s) de punto de referencia,0,,,0,0
343887,${biome_0} and ${biome_1},${biome_0} y ${biome_1},0,,,0,0
343888,"${biome_0}, ${biome_1} and ${biome_2}","${biome_0}, ${biome_1} y ${biome_2}",0,,,0,0
336464,${card_name} gains ${increase} ${counterName},${card_name} gana ${increase} ${counterName},0,,,0,0
317576,${card_name} gains ${n} ${power},${card_name} gana ${n} ${power},0,,,0,0
317574,${card_name} gains ${n} ${power} (${card_name2}'s effect),${card_name} gana ${n} ${power} (efecto de ${card_name2}),0,,,0,0
317575,${card_name} gains ${power},${card_name} gana ${power},0,,,0,0
317573,${card_name} gains ${power} (${card_name2}'s effect),${card_name} gana ${power} (efecto de ${card_name2}),0,,,0,0
317578,${card_name} looses ${n} ${power},${card_name} pierde ${n} ${power},0,,,0,0
343033,${n} dice are added to the roll (Ouroboros Lyra Bastion's effect),"${n} dados se añaden a la tirada (efecto de Ouroboros, Bastión de Lyra)",0,,,0,0
343818,${phase_icon} Day n°${day}: afternoon ${phase_icon2},${phase_icon} Día n°${day}: tarde ${phase_icon2},0,,,0,0
343819,${phase_icon} Day n°${day}: dusk ${phase_icon2},${phase_icon} Día n°${day}: atardecer ${phase_icon2},0,,,0,0
343816,${phase_icon} Day n°${day}: morning ${phase_icon2},${phase_icon} Día n°${day}: mañana ${phase_icon2},0,,,0,0
