trk_id,str_to_translate,context,fr_FR," es_ES"," it_IT"," de_DE",LOCK
343101,"""Achoo!""",MU_Common_SneezerShroom;MU_Rare_SneezerShroom,"""Atchoum !""",«¡Achís!».,"""Ecciù!""","""Hatschi!""",1
343128,"""All right, lad, show me what you’ve learned.""",BR_Common_HavenTrainee,"""Ok, gamin, montre-moi ce que t'as appris.""","«Muy bien, muchacho, enséñame lo que has aprendido».","""D'accordo, giovane, mostrami cosa hai imparato.""","""Also gut, mein Junge: Zeig mir, was du gelernt hast.""",1
343081,"""Chin up and stand tall. You’re shieldbearers of the Aegis now!""",OD_Common_OrdisTrooper;OD_Rare_OrdisTrooper,"""Relevez la tête, tenez vous fièrement. Vous êtes maintenant boucliers de l'Aegis !""","«Animad esas caras, las cabezas bien altas. ¡Ahora sois escuderos de la Égida!».","""Su col morale e testa alta! Ora siete gli scudieri dell'Aegis!""","""Kopf hoch und Haltung annehmen. Ihr seid jetzt Schildträger der Aegis!""",1
343027,"""Don't just wait for magic to happen. Go out and make your own!""",LY_Rare_KadigiranMageDancer,"""N'attendez pas que la magie vienne à vous, créez la vôtre !""","«No esperes a que la magia se aparezca en tu vida. ¡Hazla tú!».","""Non stare ad aspettare che la magia accada. Vai là fuori e creala!""","""Warte nicht einfach darauf, dass etwas Magisches passiert. Erschaffe deinen eigenen Zauber!""",1
343093,"""Dosukoi! Let’s put it in the ground!""",MU_Common_ConiferalConeman;MU_Rare_ConiferalConeman,"Ça sent le sapin !","«¡Dosukoi! ¡Al suelo con él!»."," ""Dosukoi! Mettiamolo sotto terra!"""," ""Dosukoi! In den Boden damit!""",1
343126,"""I only feel alive when I hear the wind whistling in my ears.""",BR_Common_BravosTracer;BR_Rare_BravosTracer,"""Je ne me sens vivante que quand j'entends le vent siffler à mes oreilles.""","«El único momento en que me siento viva es cuando escucho el viento silbar en mis oídos».","""Mi sento viva solo quando odo il vento soffiare nelle mie orecchie.""","""Ich fühle mich nur lebendig, wenn ich den Wind in meinen Ohren pfeifen höre.""",1
343060,"""I’ve a feeling we’re not in Kansas anymore.""",YZ_Common_DorothyGale;YZ_Rare_DorothyGale;BR_Rare_DorothyGale,"""J'ai l'impression que nous ne sommes plus au Kansas.""","«Me parece que ya no estamos en Kansas».","""Ho l'impressione che non siamo più nel Kansas.""","""Irgendetwas sagt mir, dass wir nicht mehr in Kansas sind.""",1
343062,"""One day, I will show you the wonders of Avalon and the true might of the Fae realms.""",YZ_Common_LadyoftheLake,"""Un jour, je te montrerai les merveilles d'Avalon, la véritable majesté des royaumes Fae.""","«Un día te mostraré las maravillas de Avalon y el verdadero poder de los reinos feéricos».","""Un giorno ti mostrerò le meraviglie di Avalon e il vero potere dei reami delle fate.""","""Eines Tages werde ich dir die Wunder von Avalon und die wahre Macht der Fae-Reiche zeigen.""",1
343057,"""One good turn deserves another.""",YZ_Common_Alice;YZ_Rare_Alice,"""Je parie que vous n’avez jamais parlé au Temps.""
""Cela se peut bien, répliqua prudemment Alice, mais je l’ai souvent mal employé.""","«Tu turno de ayudar».","""Se tu conoscessi il tempo come lo conosco io, non diresti che lo perdiamo.""","""Eine gute Tat verdient eine weitere.""",1
343121,"""Pom! Pompoko, pom!""",LY_Common_Tanuki;LY_Rare_Tanuki,"""Pon ! Ponpoko, pon !""","«¡Pom! ¡Pompoko, pom!».","""Pom! Pompoko, pom!""","""Pon! Ponpoko, pon!""",1
343131,"""Push through the pain. Giving up would hurt far more.""",BR_Common_Kappa,"""Affronte ta douleur. Abandonner fait bien plus mal.""","«Aguanta el dolor. Rendirse duele más».","""Sopporta il dolore. Arrendersi farebbe ancora più male.""","""Überwinde deinen Schmerz. Aufgeben würde viel stärker schmerzen.""",1
317777,"""Restart turn"" and ""Undo last step"" buttons",Altered,,,,,0
343071,"""Show me those pearly whites.""",YZ_Rare_ToothFairy,"""Allez, petite, souris !""","La competencia del Ratoncito Pérez.","""Mostrami quei bei dentini.""","""Zeig mir deine Beißerchen.""",1
343124,"""Stay on the path, they say. I make my own path!""",BR_Common_BravosPathfinder,"""Reste sur le chemin, qu'ils disaient. Je trace mon propre chemin !""","«Dicen que es mejor no salirse del camino. ¡Yo trazo mi propio camino!».","""Rimani sul sentiero, dicono. Ma il sentiero lo creo io!""","""'Bleib auf dem Weg', haben sie gesagt. Ich gehe meinen eigenen Weg!""",1
